state_ID,year,total_consumption
AK,2018,603029
AK,2017,600975
AK,2016,592516
AK,2015,611996
AK,2014,594764
AK,2013,597975
AK,2012,630464
AK,2011,640731
AK,2010,640590
AK,2009,639557
AK,2008,650500
AK,2007,723227
AK,2006,746457
AK,2005,797723
AK,2004,775019
AK,2003,733471
AK,2002,732909
AK,2001,735745
AK,2000,742061
AK,1999,725331
AK,1998,723206
AK,1997,708741
AK,1996,718749
AK,1995,704062
AK,1994,623042
AK,1993,623613
AK,1992,627237
AK,1991,602660
AK,1990,584082
AK,1989,576192
AK,1988,521398
AK,1987,499211
AK,1986,504252
AK,1985,474429
AK,1984,482889
AK,1983,437627
AK,1982,409057
AK,1981,279661
AK,1980,295745
AK,1979,299774
AK,1978,324010
AK,1977,293489
AK,1976,254649
AK,1975,232172
AK,1974,201488
AK,1973,196965
AK,1972,214377
AK,1971,200962
AK,1970,182039
AK,1969,156631
AK,1968,122533
AK,1967,115172
AK,1966,102696
AK,1965,87782
AK,1964,85067
AK,1963,80788
AK,1962,78812
AK,1961,72173
AK,1960,61433
HI,2018,305747
HI,2017,308092
HI,2016,299932
HI,2015,296397
HI,2014,291687
HI,2013,299747
HI,2012,294151
HI,2011,299651
HI,2010,294541
HI,2009,275905
HI,2008,276640
HI,2007,337822
HI,2006,327285
HI,2005,324736
HI,2004,314719
HI,2003,300914
HI,2002,284662
HI,2001,270121
HI,2000,273307
HI,1999,269352
HI,1998,273387
HI,1997,273483
HI,1996,283060
HI,1995,296774
HI,1994,299033
HI,1993,282651
HI,1992,306030
HI,1991,295150
HI,1990,321420
HI,1989,309767
HI,1988,289691
HI,1987,249461
HI,1986,245329
HI,1985,248554
HI,1984,232426
HI,1983,221150
HI,1982,218095
HI,1981,236718
HI,1980,262347
HI,1979,256604
HI,1978,236970
HI,1977,233334
HI,1976,220042
HI,1975,214378
HI,1974,212103
HI,1973,224312
HI,1972,218057
HI,1971,211673
HI,1970,196947
HI,1969,190862
HI,1968,182799
HI,1967,163865
HI,1966,145474
