state_ID,year,petrol,coal,fossil_fuels,natural_gas,nuclear,propane,total
AL,1960,236010,395400,822115,190706,0,0,753785
AL,1961,232362,382455,806350,191533,0,0,713290
AL,1962,239387,427177,867815,201250,0,0,755675
AL,1963,251791,442465,905604,211348,0,0,800473
AL,1964,256646,459000,945962,230316,0,0,841220
AL,1965,261907,533142,1031999,236949,0,0,922728
AL,1966,272450,583457,1096662,240755,0,0,966966
AL,1967,277348,580163,1119566,262055,0,0,994189
AL,1968,306563,618335,1221587,296690,0,0,1116996
AL,1969,337296,641466,1289583,310822,0,0,1211282
AL,1970,352050,675603,1335404,307750,0,0,1261026
AL,1971,364985,626054,1285877,294838,0,0,1226758
AL,1972,405130,669734,1361964,287100,0,0,1313093
AL,1973,450532,688650,1419141,279958,3425,0,1345503
AL,1974,476203,653405,1412062,282454,70195,0,1380923
AL,1975,487794,640063,1399605,271747,29978,0,1330429
AL,1976,532874,632096,1397728,232758,46557,0,1390812
AL,1977,573518,629412,1451646,248715,210228,0,1448692
AL,1978,577713,577580,1400261,244969,249788,0,1490018
AL,1979,491310,670208,1453003,291485,240321,0,1458030
AL,1980,450362,661023,1389728,278394,256310,0,1406108
AL,1981,444499,629957,1355478,281046,260780,0,1390680
AL,1982,440359,511059,1204809,253487,306734,0,1233502
AL,1983,415569,532596,1178158,230003,274203,0,1163767
AL,1984,415550,584607,1239755,239653,262518,0,1256471
AL,1985,410037,662890,1300708,227795,152028,0,1271043
AL,1986,425299,660525,1296050,210229,122308,0,1288950
AL,1987,460724,660678,1336014,214613,117450,0,1349128
AL,1988,463721,652717,1359629,243209,137623,0,1435129
AL,1989,487915,682145,1423637,253593,121962,0,1378822
AL,1990,482913,682496,1417536,252457,127533,0,1406087
AL,1991,486549,723921,1471946,261816,166430,0,1417827
AL,1992,491998,775653,1555598,288123,203111,0,1484822
AL,1993,499427,812948,1613257,302672,187216,0,1519721
AL,1994,527207,773804,1598792,299322,214054,0,1545950
AL,1995,538357,828277,1697019,332400,218045,0,1632957
AL,1996,539453,890742,1767610,337782,312018,0,1661205
AL,1997,525274,867264,1729624,337453,310336,0,1656277
AL,1998,518889,856479,1717057,341976,300698,0,1680347
AL,1999,536428,866512,1751979,349080,322826,0,1750415
AL,2000,559735,904181,1832388,368472,327143,0,1830619
AL,2001,536066,842337,1721113,344004,317019,0,1646016
AL,2002,563247,845999,1798330,389965,332650,0,1706543
AL,2003,563003,873735,1795948,360505,330137,0,1668009
AL,2004,612500,853917,1855825,391927,329898,0,1772600
AL,2005,607006,890098,1860336,363398,330761,0,1785589
AL,2006,611416,886678,1899987,402044,332992,0,1816727
AL,2007,601654,888436,1920264,430649,360036,0,1856601
AL,2008,570063,842826,1823410,414260,407551,0,1765124
AL,2009,527447,630969,1614783,466272,415392,0,1525704
AL,2010,542354,718684,1781547,544405,396557,13270,1673071
AL,2011,542138,651032,1778335,609288,411822,10675,1633517
AL,2012,534356,547004,1734840,677380,427975,8689,1621575
AL,2013,515122,565051,1679719,625869,426488,9110,1591662
AL,2014,513629,575912,1714684,650570,431368,9103,1671044
AL,2015,536490,494311,1705016,701582,438728,8981,1629782
AL,2016,566877,410168,1661390,715033,417334,8595,1659675
AL,2017,555799,378890,1586617,681208,446097,8593,1614783
AL,2018,543183,377152,1663758,771194,412584,9519,1652528
AL,2019,0,317180,0,748130,455865,10220,0
AZ,1960,121344,210,261828,140275,0,0,246812
AZ,1961,126775,211,286078,159093,0,0,269752
AZ,1962,135742,6291,305494,163461,0,0,290380
AZ,1963,144241,8432,322205,169533,0,0,313441
AZ,1964,147476,9103,331201,174623,0,0,335392
AZ,1965,145724,7030,318818,166063,0,0,325105
AZ,1966,159220,7373,341041,174448,0,0,345400
AZ,1967,167963,7184,344232,169085,0,0,358078
AZ,1968,188622,8137,386724,189965,0,0,392700
AZ,1969,201360,8381,420074,210332,0,0,430352
AZ,1970,213298,8623,426304,204383,0,0,451482
AZ,1971,221223,8876,455997,225898,0,0,480076
AZ,1972,261095,7523,509973,241355,0,0,541263
AZ,1973,325852,9927,562104,226325,0,0,590769
AZ,1974,325753,48359,579068,204955,0,0,594251
AZ,1975,306751,92449,563545,164346,0,0,579107
AZ,1976,307360,139960,627501,180181,0,0,607456
AZ,1977,351150,179847,707446,176449,0,0,663208
AZ,1978,357372,159980,703718,186366,0,0,668115
AZ,1979,345796,246230,772606,180580,0,0,703065
AZ,1980,301281,244994,720245,173977,0,0,634485
AZ,1981,284450,319438,796095,192208,0,0,695337
AZ,1982,278455,336245,757023,142323,0,0,651526
AZ,1983,289170,295442,705030,120418,0,0,582001
AZ,1984,311927,324862,763633,126844,0,0,613795
AZ,1985,317106,342013,796434,137315,12005,0,671422
AZ,1986,334630,295888,735620,105197,105540,0,677870
AZ,1987,341954,282882,746137,121406,140532,0,742710
AZ,1988,347703,309041,785338,128594,243215,0,807666
AZ,1989,352657,353144,857268,151468,83080,0,841617
AZ,1990,347239,343415,821435,130781,217965,0,855442
AZ,1991,354652,347261,830091,128178,263104,0,866461
AZ,1992,365236,369743,868750,133771,268149,0,897804
AZ,1993,379528,389839,887249,118159,231601,0,913901
AZ,1994,388436,402390,929837,139733,242182,0,962377
AZ,1995,409870,342889,878432,127945,283526,0,988854
AZ,1996,431948,342839,898136,125265,302902,0,1049615
AZ,1997,431996,369872,937552,137588,307623,0,1043905
AZ,1998,469562,386770,1015950,161086,317888,0,1112861
AZ,1999,495815,403262,1065579,167770,317843,0,1168859
AZ,2000,504145,432810,1143640,208137,316839,0,1230214
AZ,2001,516062,424023,1182499,244424,299966,0,1249189
AZ,2002,527322,406479,1187902,255247,322260,0,1246257
AZ,2003,538177,406537,1219260,275650,297872,0,1270329
AZ,2004,559421,425413,1340035,356264,293158,0,1321905
AZ,2005,587601,428445,1331510,329302,269327,0,1350915
AZ,2006,597269,431985,1379837,365230,250568,0,1396096
AZ,2007,587735,438524,1411933,401992,280920,0,1400479
AZ,2008,561904,458727,1410859,409966,305726,0,1353564
AZ,2009,518581,413260,1289225,377504,320692,0,1283774
AZ,2010,564411,457909,1338359,336208,326102,7966,1327950
AZ,2011,569220,459909,1301178,293134,327292,9031,1341420
AZ,2012,554348,420570,1294492,339043,334636,6554,1324868
AZ,2013,561768,454865,1336175,340375,328423,7565,1338658
AZ,2014,563599,447849,1303999,315916,338044,7905,1328680
AZ,2015,579718,385822,1306697,365313,340153,7553,1341098
AZ,2016,602328,323878,1272763,373916,338636,8666,1357609
AZ,2017,608197,334512,1250025,334629,338246,8465,1353429
AZ,2018,615588,331492,1319947,400531,325122,9306,1357677
AZ,2019,0,257727,0,483687,333312,10774,0
AK,1960,45410,7189,54633,2034,0,0,54633
AK,1961,51008,11552,64860,2300,0,0,64860
AK,1962,53752,13559,71359,4048,0,0,71359
AK,1963,55429,11999,72995,5567,0,0,72995
AK,1964,58130,12029,76965,6805,0,0,76965
AK,1965,61705,9888,79263,7670,0,0,79263
AK,1966,65655,16431,94368,12282,0,0,94368
AK,1967,76363,18462,106715,11889,0,0,106715
AK,1968,80412,15998,114046,17636,0,0,114047
AK,1969,92045,13191,148176,42940,0,0,148176
AK,1970,95999,13159,173203,64045,0,0,173204
AK,1971,109703,14121,191869,68045,0,0,191868
AK,1972,117919,12753,205703,75032,0,0,205704
AK,1973,112132,13286,189120,63703,0,0,189121
AK,1974,117486,12485,193159,63188,0,0,193159
AK,1975,123119,15271,223564,85175,0,0,223564
