state_ID,year,petrol,coal,fossil_fuels,natural_gas,nuclear,propane,total
AL,1960,42508,318818,0,93,0,0,361419
AL,1961,40200,316466,0,91,0,0,356757
AL,1962,43343,315608,0,208,0,0,359159
AL,1963,53215,302842,0,288,0,0,356345
AL,1964,49288,353712,0,270,0,0,403270
AL,1965,46771,363440,0,330,0,0,410541
AL,1966,46574,348419,0,410,0,0,395402
AL,1967,42618,379465,0,403,0,0,422486
AL,1968,44283,402842,0,374,0,0,447499
AL,1969,44666,427738,0,293,0,0,472696
AL,1970,42125,503797,0,1019,0,0,546942
AL,1971,45426,439720,0,860,0,0,486006
AL,1972,57617,510021,0,4181,0,0,571820
AL,1973,67727,453403,0,11931,3425,0,536486
AL,1974,77273,463397,0,29460,70195,0,640325
AL,1975,78167,534693,0,39999,29978,0,682836
AL,1976,85295,508453,0,43708,46557,0,684013
AL,1977,105862,505588,0,60447,210228,0,882125
AL,1978,115008,492162,0,91329,249788,0,948287
AL,1979,111134,579943,0,96524,240321,0,1027922
AL,1980,128487,633365,0,75378,256310,0,1093541
AL,1981,119944,592489,0,90084,260780,0,1063298
AL,1982,116081,645392,0,87056,306734,0,1155264
AL,1983,108727,577139,0,101942,274203,0,1062011
AL,1984,114863,657109,0,113438,262518,0,1147928
AL,1985,125170,676254,0,119997,152028,0,1073450
AL,1986,122508,634516,0,118751,122308,0,998083
AL,1987,119521,627490,0,129014,117450,0,993474
AL,1988,120623,649791,0,141278,137623,0,1049314
AL,1989,114915,680322,0,140473,121962,0,1057672
AL,1990,107520,707762,0,147464,127533,0,1090278
AL,1991,108095,662161,0,183772,166430,0,1120458
AL,1992,110345,623932,0,292337,203111,0,1229724
AL,1993,108327,600869,0,319576,187216,0,1215988
AL,1994,106401,568577,0,415752,214054,0,1304784
AL,1995,108640,607150,0,395302,218045,0,1329136
AL,1996,97834,607031,0,399761,312018,0,1416645
AL,1997,86026,600683,0,411570,310336,0,1408614
AL,1998,71908,568308,0,414185,300698,0,1355100
AL,1999,64513,477574,0,422526,322826,0,1287438
AL,2000,60651,472699,0,414417,327143,0,1274909
AL,2001,54137,469962,0,391253,317019,0,1232370
AL,2002,50089,460201,0,390053,332650,0,1232992
AL,2003,45785,486363,0,374804,330137,0,1237090
AL,2004,43169,531179,0,348224,329898,0,1252471
AL,2005,45594,518423,0,327318,330761,0,1222096
AL,2006,43726,443032,0,326288,332992,0,1146038
AL,2007,41592,469036,0,307971,360036,0,1178634
AL,2008,44637,506837,0,289280,407551,0,1248305
AL,2009,41696,459529,0,267121,415392,0,1183737
AL,2010,41499,493094,0,256117,396557,0,1187266
AL,2011,48563,468671,0,225570,411822,0,1154628
AL,2012,55245,488084,0,229914,427975,0,1201219
AL,2013,60366,469162,0,211258,426488,0,1167274
AL,2014,56985,414366,0,195614,431368,0,1098333
AL,2015,55421,331420,0,182481,438728,0,1008049
AL,2016,46388,247632,0,176290,417334,0,887644
AL,2017,39071,326748,0,159686,446097,0,971602
AL,2018,33574,370533,0,149616,412584,0,966306
AL,2019,0,0,0,0,455865,0,0
IN,1960,69913,346324,0,344,0,0,416581
IN,1961,66700,336695,0,384,0,0,403779
IN,1962,70047,350135,0,286,0,0,420467
IN,1963,69032,336561,0,288,0,0,405880
IN,1964,65441,336004,0,201,0,0,401646
IN,1965,66590,346925,0,240,0,0,413756
IN,1966,61579,386176,0,216,0,0,447971
IN,1967,58470,418406,0,199,0,0,477074
IN,1968,50414,412031,0,235,0,0,462681
IN,1969,45478,447693,0,172,0,0,493343
IN,1970,43425,496216,0,154,0,0,539795
IN,1971,38616,476892,0,540,0,0,516048
IN,1972,35554,578373,0,357,0,0,614284
IN,1973,30810,550911,0,275,0,0,581996
IN,1974,28530,514487,0,175,0,0,543192
IN,1975,26866,542752,0,343,0,0,569960
IN,1976,26854,548266,0,190,0,0,575310
IN,1977,30821,601876,0,181,0,0,632878
IN,1978,27196,522198,0,161,0,0,549556
IN,1979,27347,597456,0,469,0,0,625272
IN,1980,28872,670980,0,595,0,0,700447
IN,1981,27382,638524,0,361,0,0,666268
IN,1982,32265,694737,0,257,0,0,727259
IN,1983,30862,697958,0,136,0,0,728956
IN,1984,32051,821386,0,397,0,0,853833
IN,1985,29974,734611,0,370,0,0,764956
IN,1986,27602,729419,0,368,0,0,757390
IN,1987,21680,759526,0,219,0,0,781425
IN,1988,21257,696994,0,418,0,0,718669
IN,1989,19204,747397,0,423,0,0,767024
IN,1990,17400,797305,0,406,0,0,815112
IN,1991,17481,700941,0,235,0,0,718658
IN,1992,17493,679062,0,176,0,0,696730
IN,1993,16014,654657,0,194,0,0,670866
IN,1994,14454,690819,0,108,0,0,705381
IN,1995,16112,578143,0,252,0,0,594507
IN,1996,14633,657833,0,364,0,0,672830
IN,1997,14094,785240,0,532,0,0,799867
IN,1998,12806,812969,0,626,0,0,826401
IN,1999,11391,756640,0,870,0,0,768902
IN,2000,12168,621169,0,921,0,0,634259
IN,2001,11728,813161,0,1090,0,0,825979
IN,2002,11380,789153,0,1319,0,0,801852
