state_ID,year,biofuel,biomass,geo,hydro,solar,wind,total
AL,1960,0,45681,0,67128,0,0,112809
AL,1961,0,46171,0,71851,0,0,118021
AL,1962,0,45959,0,79605,0,0,125564
AL,1963,0,45764,0,66918,0,0,112682
AL,1964,0,46341,0,91651,0,0,137992
AL,1965,0,47641,0,74247,0,0,121888
AL,1966,0,49102,0,72135,0,0,121238
AL,1967,0,49050,0,95334,0,0,144384
AL,1968,0,52920,0,76753,0,0,129673
AL,1969,0,53345,0,78511,0,0,131856
AL,1970,0,52378,0,80092,0,0,132471
AL,1971,0,54068,0,104114,0,0,158182
AL,1972,0,58735,0,106211,0,0,164946
AL,1973,0,59084,0,122622,0,0,181706
AL,1974,0,58463,0,108270,0,0,166734
AL,1975,0,57615,0,127086,0,0,184701
AL,1976,0,62883,0,98111,0,0,160994
AL,1977,0,66705,0,108046,0,0,174751
AL,1978,0,66560,0,81781,0,0,148341
AL,1979,0,67874,0,122863,0,0,190737
AL,1980,0,141033,0,97733,0,0,238766
AL,1981,0,150242,0,63113,0,0,213355
AL,1982,95,153364,0,112184,0,0,265548
AL,1983,239,164722,0,117458,0,0,282179
AL,1984,271,175397,0,112730,0,0,288127
AL,1985,1278,176696,0,71935,0,0,248632
AL,1986,1968,160935,0,54848,0,0,215783
AL,1987,3939,155656,0,77855,0,0,233511
AL,1988,3509,161022,0,55575,0,0,216597
AL,1989,1962,166994,11,137211,135,0,304351
AL,1990,1620,145304,13,107832,138,0,253287
AL,1991,1612,144773,14,112268,148,0,257202
AL,1992,2586,151327,15,106109,148,0,257599
AL,1993,1367,176217,16,93134,148,0,269514
AL,1994,1469,215932,14,117903,153,0,334002
AL,1995,2015,223971,15,97980,150,0,322116
AL,1996,349,208971,16,114587,146,0,323721
AL,1997,345,182204,17,117660,138,0,300020
AL,1998,284,209467,18,107730,134,0,317349
AL,1999,37,210694,62,79350,127,0,290232
AL,2000,0,203782,62,59346,113,0,263303
AL,2001,1318,166334,65,86346,97,0,252841
AL,2002,920,163686,67,89775,82,0,253609
AL,2003,1305,156371,62,128232,68,0,284732
AL,2004,2583,186726,68,106432,54,0,293280
AL,2005,383,178417,78,101436,53,0,279983
AL,2006,778,194853,85,71930,62,0,266931
AL,2007,1331,188449,98,40881,63,0,229491
AL,2008,4477,177209,117,60466,64,0,237856
AL,2009,9905,151859,126,122345,62,0,274392
AL,2010,23897,181015,138,84919,68,0,266140
AL,2011,24123,193453,135,86313,71,0,279972
AL,2012,23902,194992,141,70754,78,0,265964
AL,2013,26365,213553,141,123071,97,0,336863
AL,2014,25459,203628,141,90030,100,0,293899
AL,2015,27393,192270,141,91902,101,0,284415
AL,2016,30713,194476,141,64484,431,0,259532
AL,2017,29302,194481,141,85103,1812,0,281538
AL,2018,27793,193399,141,101447,3425,0,298413
AL,2019,27286,0,0,0,0,0,0
AK,1960,0,3681,0,3120,0,0,6800
AK,1961,0,4145,0,3168,0,0,7313
AK,1962,0,4246,0,3207,0,0,7453
AK,1963,0,4383,0,3410,0,0,7793
AK,1964,0,4728,0,3374,0,0,8102
AK,1965,0,4863,0,3655,0,0,8519
AK,1966,0,5035,0,3293,0,0,8328
AK,1967,0,4671,0,3786,0,0,8457
AK,1968,0,4705,0,3781,0,0,8486
AK,1969,0,4893,0,3562,0,0,8455
AK,1970,0,5029,0,3806,0,0,8835
AK,1971,0,5287,0,3807,0,0,9094
AK,1972,0,5079,0,3594,0,0,8673
AK,1973,0,4871,0,2973,0,0,7844
